slang;formal
tapiiii;tapi
tapmantap;mantap
tasny;tasnya
tb;tiba
tebalbya;tebalnya
tebell;tebal
tebelnya;tebalnya
teksturny;teksturnya
telaat;telat
telfon;telepon
telor;telur
terbaiiik;terbaik
terbaiiique;terbaik
terbaikk;terbaik
terbaique;terbaik
tercocokkk;tercocok
terfavoritttt;terfavorit
kasihh;kasih
kasihs;kasih
ksi;kasih
terimah;terima
terimakasih;terima kasih
terimakasihhh;terima kasih
terimakasihhhh;terima kasih
terimakasihhhhhhhhhhhhhh;terima kasih
terimakasiiiiii;terima kasih
terimkash;terima kasih
terimkasih;terima kasih
terimskasih;terima kasih
terjamim;terjamin
terjma kasih;terima kasih
terkahir;terakhir
termkash;terima kasih
termurahhhhhhhh;termurah
terpalidasi;tervalidasi
tersamarkaaan;tersamarkan
teryata;ternyata
tess;tes
tetao;tetap
tetapiiiii;tetapi
tiati;hati hati
tidakw;tidak
tidal;tidak
tidk;tidak
tifak;tidak
tipus;tipis
tjakep;cakep
tkasih;terima kasih
tko;toko
tks;terima kasih
tksh;terima kasih
tlfn;telepon
tlglah;tolonglah
tlpon;telepon
tmnnya;temannya
tnyt;ternyata
toko pedia;tokopedia
tokopediaaaa;tokopedia
tokped;tokopedia
tokped;tokopedia
tolakangin;tolak angin
toped;tokopedia
toped;tokopedia
topedia;tokopedia
topinyaaaaa;topinya
toples;stoples
topp;top
toppppp;top
tpis;tipis
tpt;tepat
trimakasi;terima kasih
trimakasih;terima kasih
trimk;terima kasih
trimkasih;terima kasih
trimks;terima kasih
trimksh;terima kasih
trm;terima
ksh;kasih
trma;terima
trma ksih;terima kasih
trmh;terima
trmks;terima kasih
trmksh;terima kasih
trmksih;terima kasih
trms;terima kasih
trnksh;terima kasih
trnyata;ternyata
trrima;terima
trtapi;tetapi
tudak;tidak
tujuann;tujuan
tuk;untuk
tuker;tukar
turunkn;turunkan
tyap;tiap
tyt;ternyata
uaweeettttttttt;awet
ud;udah
udah;udah
ude;udah
ujan;hujan
uk;ukuran
ukuuran;ukuran
ulangulang;ulang ulang
umut;umur
unt;untuk
untku;untuk
untukk;untuk
untungvmalam;untung malam
utk;untuk
waaawww;wow
waaah;wah
waaahh;wah
wae;saja
wajarr;wajar
walo;walau
walopun;walaupun
walopun;walaupun
walupun;walaupun
wangii;wangi
wangiiiiii;wangi
wanginy;wanginya
wanginyaa;wanginya
watna;warna
wlw;walau
wokeyy;oke
woooww;wow
wrna;warna
xepat;cepat
xnya;kalinya
yaaaaa;ya
yaaaaaaaaaaaa;ya
yaaaah;yah
yamg;yang
yasudah;ya sudah
yauda;ya sudah
yaudah;ya sudah
yas;ya
ydk;tidak
yha;ya
balikin;kembalikan
boss;bos
bosss;bos
direspon;direspons
servisk;servis
recomendasi;rekomendasi
goodbgt;good banget
ong;ongkir
expedisi;ekspedisi
expedisinya;ekspedisinya
expektasi;ekspektasi
expetasi;ekspektasi
expextasi;ekspektasi
expectasi;ekspektasi
esangat ;sangat
anjayy;anjay
anjrottt;anjrot
bjirrr;bjir
ccooooiiii;coy
choy;coy
coooyy;coy
coy;coy
gandoss;gandos
gandosss;gandos
gandoos;gandos
joooozzzz;jos
jooossssss;jos
josgandos;jos gandos
josh;jos
joss;jos
josshh;jos
josss;jos
jossslah;jos
jossss;jos
josssss;jos
jossssss;jos
jossssssssss;jos
joz;jos
jozzz;jos
juossss;jos
woyyy;woy

