slang;formal
syukaa;suka
tadii;tadi
tajem;tajam
takerinnya;menakarnya
takute;takutnya
taliinnya;talinya
tambahhhhhjjan;tambahan
tambahjjan;tambahan
tanganannya;tangannya
tanggapdan;tanggap dan
tanggungjawab;tanggung jawab
tapigapap;tapi tidak apa
tapiiii;tapi
tapmantap;mantap
tapu;tapi
taro;taruh
tasny;tasnya
tb;tiba
tb tb;tiba tiba
tbel;tebal
teb mantap;mantap
tebalbya;tebalnya
tebell;tebal
tebelnya;tebalnya
tek tokan;koordinasi
teken;tekan
teksturny;teksturnya
telaat;telat
telfon;telepon
telor;telur
ter registrasi;teregistrasi
terbaiiik;terbaik
terbaiiique;terbaik
terbaikk;terbaik
terbaique;terbaik
tercocokkk;tercocok
tereh;cepat
terfavoritttt;terfavorit
terima kasihbpengiriman;terima kasih pengiriman
terimah;terima
terimakasih;terima kasih
terimakasihhh;terima kasih
terimakasihhhh;terima kasih
terimakasihhhhhhhhhhhhhh;terima kasih
terimakasiiiiii;terima kasih
terimkash;terima kasih
terimkasih;terima kasih
terimskasih;terima kasih
terjamim;terjamin
terjma kasih;terima kasih
terkahir;terakhir
terkonek;terkoneksi
termkash;terima kasih
termurahhhhhhhh;termurah
terpalidasi;tervalidasi
tersamarkaaan;tersamarkan
teryata;ternyata
tess;tes
tetao;tetap
tetapiiiii;tetapi
thd;terhadap
thr;tunjangan hari raya
tiada tara;tidak tertandingi
tiati;hati hati
tidakt;tidak
tidakw;tidak
tidal;tidak
tidk;tidak
tifak;tidak
tipus;tipis
tjakep;cakep
tkasih;terima kasih
tko;toko
tks;terima kasih
tksh;terima kasih
tlfn;telepon
tlglah;tolonglah
tlpon;telepon
tmnnya;temannya
tnyt;ternyata
tokh;tokoh
toko pedia;tokopedia
tokonja;tokonya
tokopediaaaa;tokopedia
tokped;tokopedia
tokped;tokopedia
tolakangin;tolak angin
tolerir;toleransi
tolongvdigsnti;tolong diganti
toped;tokopedia
toped;tokopedia
topedia;tokopedia
topinyaaaaa;topinya
toples;stoples
topp;top
toppppp;top
tpis;tipis
tpt;tepat
tq;terima kasih
tqyuuuuuuuuuuuu;terima kasih
trimakasi;terima kasih
trimakasih;terima kasih
trimk;terima kasih
trimkasih;terima kasih
trimks;terima kasih
trimksh;terima kasih
trm;terima
trma;terima
trma ksih;terima kasih
trmh;terima
trmks;terima kasih
trmksh;terima kasih
trmksih;terima kasih
trms;terima kasih
trnksh;terima kasih
trnyata;ternyata
trrima;terima
trtapi;tetapi
trx;transaksi
trys;terus
ts;terima kasih
ttd;tanda tangan
ttpi;tapi
tudak;tidak
tuh;itu
tujuann;tujuan
tuk;untuk
tuker;tukar
tumblernya;tumbler
tumblr;tumbler
tumblrnya;tumbler
turunkn;turunkan
tyap;tiap
tyt;ternyata
uapikkkk;bagus
uaweeettttttttt;awet
ucing;kucing
ud;udah
udah;udah
ude;udah
udeh;udah
ugaa;juga
ujan;hujan
uk;ukuran
ukuuran;ukuran
ulangulang;ulang ulang
umut;umur
unt;untuk
untku;untuk
untukk;untuk
untukko;untuk toko
untukmbol;tombol
untungvmalam;untung malam
usilin;usil
utk;untuk
utnk;untuk
variant;varian
vedio;video
vermak;permak
videoin;video
vidio;video
vit;vitamin
vit di;vitamin d
vitur;fitur
vocalnya;vokal
vol;volume
vulkanisir;vulkanisasi
vulkanisir;vulkanisasi
waaah;wah
waaahh;wah
waaawww;wow
wae;saja
wajarr;wajar
walo;walau
walopun;walaupun
walopun;walaupun
walupun;walaupun
wangii;wangi
wangiiiiii;wangi
wanginy;wanginya
wanginyaa;wanginya
waoo;wow
watna;warna
wlw;walau
woke;oke
wokeyy;oke
woooww;wow
woyyy;woy
wrna;warna
xepat;cepat
xnya;kalinya
yaaaaa;ya
yaaaaaaaaaaaa;ya
yaaaah;yah
yakali;ya kali
yamg;yang
yap;ya
yas;ya
yasudah;ya sudah
yasudahlah;ya sudahlah
yauda;ya sudah
yaudah;ya sudah
yaudahlah;ya sudahlah
ydk;tidak
yha;ya
joos;jos
kelaz;kelas
kerren;keren
kkcil;kecil
mantabbs;mantap
nicee;nice
kkciill;kecil
goodd;good
terfavoritt;terfavorit
mantaffn;mantap
muantapp;mantap
ookk;ok
kerreenn;keren



